% Model:              nanobeam_GaAs_890nm_cavity_onOxideAndLN.mph
% Version:            COMSOL 5.6.0.280
% Date:               Jun 8 2023, 09:32
% Table:              表格 1 - 全局计算 2
% k                                               lambda (THz)                                      品质因子 (1)
4                                                 331.07917045810916+1.942381564189585i             85.22505993724373
4                                                 331.8182127714752+10.024961627023263i             16.549600143956003
4                                                 332.5555681394528+4.669612358484623i              35.6084769579646
4                                                 332.65016164077895+3.3110335996702585i            50.233582902013914
4                                                 333.2578294580862+5.107147279195124i              32.62661239628544
4                                                 333.60801082518725+7.605195375912662i             21.932902071247092
4                                                 334.8252536764271+0.9946014560197759i             168.3213168701463
4                                                 334.96654248692+7.41766244642581i                 22.57898259095917
4                                                 335.6621750252031+14.7139294842985i               11.40627238235015
4                                                 335.77936064704045+0.0023694900114586887i         70854.77445003667
4                                                 336.33199084386763+3.8690448486570914i            43.46447301594414
4                                                 336.4546051487488+2.8550029687798917i             58.92368744060105
4                                                 336.5983212443053+2.2089278699549433i             76.19042835725801
4                                                 337.2901621820872+9.048363695012155i              18.63818550795079
4                                                 338.2820738643805+0.7264031383940586i             232.84733778288654
4                                                 338.3518843677578+2.090660469895447i              80.91985505056176
4                                                 339.8051025171422+3.719775982668092i              45.6754793972041
4                                                 340.263562281603+9.157721251145558i               18.57796022340376
4                                                 340.7716935527404+6.9461614075741345i             24.529497196909425
4                                                 340.79791234504194+6.487904249611479i             26.26409848491909
4                                                 342.0271135827504+0.3961525766541127i             431.68608982869233
4                                                 343.0155428118388+4.111755714931153i              41.711566371299156
4                                                 343.13474362444225+2.2006107475397596i            77.96352535496345
4                                                 343.59253378115704+3.0495471164562153i            56.33500986540509
4                                                 345.4449411717168+2.0190538593897736i             85.54624225728233
4                                                 345.5969526909717+0.3868834778873208i             446.6421706326087
5                                                 317.057968152242+2.1409552287357716i              74.04591275350113
5                                                 317.1653431983024+1.8345761038529853i             86.44104284695257
5                                                 317.2120498697766+3.7315110199917307i             42.50450396237603
5                                                 317.89445534607677+2.0393890067596407i            77.93865081463177
5                                                 318.22783157849517+4.579183560688012i             34.7472237529917
5                                                 318.466778414395+0.002211127603670301i            72014.56349370447
5                                                 321.2469112075865+9.887521562859146i              16.24506754120759
5                                                 322.38864908131416+3.889552637530756i             41.442895767825306
5                                                 322.6185361762408+6.921005170233385i              23.307202367352208
5                                                 322.80025241911727+1.4063954327607706i            114.7615545741131
5                                                 323.3404978136662+8.686374737889837i              18.611935794299768
5                                                 323.7245973132981+2.443497814317127i              66.24204765326708
5                                                 323.97498536608475+3.2542115099728055i            49.77780091632583
5                                                 324.08533990560915+1.7979450445771656i            90.1265978298648
5                                                 325.43691328301713+4.545721227913306i             35.79596030709603
5                                                 326.3948809275689+9.451614865612102i              17.266619808806137
5                                                 327.49988471958886+1.1398869146608432i            143.6545505117197
5                                                 327.62303857248645+14.061579762670574i            11.649581487360006
5                                                 328.94788754359854+4.439926608738138i             37.04429335568321
5                                                 329.0243204483531+9.566741599455698i              17.196258361732745
5                                                 329.28356709584745+6.547595943355224i             25.14537930750127
5                                                 329.47822420667325+8.251773190374236i             19.964086300324663
5                                                 329.9087288179754+2.382888303306644i              69.22454744525236
5                                                 330.71216511563034+13.64057686154246i             12.12236727495093
5                                                 330.7626604264462+1.2489945520708041i             132.41157052208487
5                                                 330.76581284853773+11.700166951438701i            14.135089448781986
5                                                 331.0875352817196+1.9622210251919785i             84.36550496377616
5                                                 331.89852427105836+5.336977678309371i             31.094239500004427
5                                                 332.9693201228425+2.132335325644552i              78.07620971204285
5                                                 333.11634338627545+4.473333778924751i             37.233566714347226
5                                                 333.2492774403446+5.63599231924709i               29.56438356935725
5                                                 333.364220004812+12.713495636835034i              13.110643584088312
5                                                 334.84475212419113+0.6757608855571927i            247.753872176323
5                                                 335.11917154013895+8.091519893399845i             20.708048423232054
5                                                 335.17654573720324+9.307919938690453i             18.00491129838617
5                                                 335.78120084382834+3.959198194509278E-4i          424052.0230958616
5                                                 335.8192224568691+6.0061968655568965i             27.956061878578787
5                                                 336.2263571705341+4.262736315618817i              39.43785543790133
5                                                 336.62658452015336+2.2168598984874177i            75.92419005590666
5                                                 336.6361061806924+9.41821129058474i               17.871552027996177
5                                                 336.6680853227951+9.104051675646648i              18.490013969460584
5                                                 338.3406824412493+1.9865982576082255i             85.15578858117901
5                                                 338.6170743678449+0.5190583943041026i             326.1839882406931
5                                                 339.9859691327445+4.119961551627755i              41.26081819846346
5                                                 341.11245607636374+7.250627369859365i             23.52296144016156
5                                                 341.1227696894865+3.050171780781238i              55.91861609874887
5                                                 342.1250346205466+0.48470516207181513i            352.9207664698406
5                                                 342.97261678851385+6.5678936585544205i            26.109787598479585
5                                                 343.1288104933497+2.2581281364059698i             75.97638171221598
5                                                 343.28542538844056+4.321387596665329i             39.71935144782459
6                                                 316.3138098784606+1.7837904259971389i             88.66338928286409
6                                                 316.9620763064621+2.2796357675471928i             69.52033320820853
6                                                 317.05937384485395+1.9627495844747658i            80.76918633756821
6                                                 317.76097124983374+5.198702686726745i             30.561564143794623
6                                                 318.4636084516271+4.952321273588994E-4i           321529.6331338713
6                                                 319.305468800027+4.351476599536457i               36.68932389916117
6                                                 319.64174026336985+8.485039231723528i             18.835607681594805
6                                                 319.9248193520637+9.697485873730384i              16.495245443909912
6                                                 320.79172049125094+3.515667822837185i             45.62315563595657
6                                                 320.92164478020516+6.598454496260298i             24.317940281477192
6                                                 321.7012095855159+1.4453588085857674i             111.28766354573548
6                                                 322.93145700669487+11.451468278643375i            14.100002250757303
6                                                 323.62593339088085+9.911036107864744i             16.326543959116076
6                                                 323.6940938862997+2.255559986236996i              71.75470744768934
6                                                 323.8158899436121+8.450736699846153i              19.159033197041108
6                                                 324.033928160994+1.9996927139272676i              81.02093034199545
6                                                 324.08516121810186+4.745602167223048i             34.14584174970409
6                                                 324.8372332707725+7.717100421269208i              21.046585863745147
6                                                 325.8143302919925+4.054903562911137i              40.17534883839267
6                                                 326.7194104282213+1.0538597651738255i             155.010856864021
6                                                 328.1032324752822+9.417336879680702i              17.42017072699254
6                                                 328.30497416346464+5.883545896377089i             27.900264563723805
6                                                 329.259256871248+8.255652787247836i               19.941442872927087
6                                                 329.29586157678057+3.3255615741063074i            49.50981273971354
6                                                 329.4582214939609+7.503382424043922i              21.9539804101042
6                                                 330.50647655366043+2.342359758065507i             70.5498964058828
6                                                 331.0184477536862+1.2491303087481216i             132.49956607226707
6                                                 331.08852983775654+1.692275443708235i             97.82347521165102
6                                                 331.13299912431273+4.745399402821903i             34.889897668824354
6                                                 331.3064736724063+12.592023479857508i             13.155410415266926
6                                                 331.68394866621077+8.201388624728253i             20.221206666523553
6                                                 331.7142736323271+10.037948376092581i             16.523011536021258
6                                                 332.6342256372783+4.05811110586365i               40.98387364957161
6                                                 333.2543577619103+4.605360074554268i              36.18114027643806
6                                                 334.2964546750387+12.814518068535115i             13.043660826226205
6                                                 334.6811720177239+0.6353649498070982i             263.3771127281538
6                                                 334.7452524033622+7.937481081303854i              21.086365370484454
6                                                 334.788727505205+5.162402915369034i               32.425668142688224
6                                                 335.0746470087625+7.714717881615857i              21.71658459522182
6                                                 335.78122224574923+1.1702532763213586E-4i         1434651.9212544453
6                                                 336.10224779316286+9.122650245368359i             18.4213051445113
6                                                 336.614980249943+2.2675777689434486i              74.22346983203686
6                                                 337.4174706704895+4.601254695013372i              36.66581107063765
6                                                 338.30571027053156+1.935594955575038i             87.39062614730406
6                                                 338.43676356894025+0.4352459736876389i            388.7879314557711
6                                                 339.3119721732508+3.9103402505386358i             43.38650225213928
6                                                 339.90864144675413+8.010244777188205i             21.217119507680668
6                                                 340.0758386240213+3.949538696812782i              43.05260243410925
6                                                 341.24326460257873+6.041557963739252i             28.241330022047478
6                                                 342.0604759228287+0.3566660031599318i             479.5249237273759
7                                                 317.0131610255324+2.2353669339024935i             70.90852875596853
7                                                 317.09986183228756+2.0617745595365893i            76.89974162440919
7                                                 317.8523187566152+5.459712198970798i              29.10888955067385
7                                                 318.08335656897447+5.091610442345125i             31.23602641745602
7                                                 318.4658507073854+2.1697542954781849E-4i          733875.3778966476
7                                                 318.5593716578432+3.423221825275346i              46.529174549215774
7                                                 318.88865146663665+2.271144291928937i             70.20440149925413
7                                                 320.4605794471847+6.843058106839766i              23.415012297417025
7                                                 321.6115176490006+7.9358339838197285i             20.263246327023108
7                                                 322.63118718699053+11.030873692174232i            14.624008768039777
7                                                 322.77402205995253+3.330359585450285i             48.4593350625097
7                                                 323.33681099892436+8.55872941615626i              18.889299759177078
7                                                 323.6823577771583+2.236780978223648i              72.35450429174618
7                                                 323.7883587442919+7.86816506908294i               20.57584938174349
7                                                 324.1519321958181+2.043050394516417i              79.33038095042775
7                                                 325.65003000409524+1.9522150298825232i            83.40526658676826
7                                                 325.66425469303016+4.47207337523839i              36.410880073682854
7                                                 326.81813269245464+3.5642425096424275i            45.846786772828445
7                                                 326.9716731527917+9.869802766974477i              16.5642455514348
7                                                 327.3968034365964+7.0694103637439625i             23.155877689296204
7                                                 327.4482601277344+4.4032089705159585i             37.18291163562068
7                                                 327.8914130001778+12.232893997746611i             13.402037696908753
7                                                 329.07265573945307+7.410652455894084i             22.20267767905673
7                                                 329.12049151502316+8.072937054902827i             20.384185413358505
7                                                 329.8771315208596+7.929063577927959i              20.80177112207391
7                                                 330.2760604778743+2.221435178660654i              74.33844202399912
7                                                 330.6014511442228+1.0455165204764896i             158.1043650049416
7                                                 330.8498469168058+8.750004490460599i              18.905695835785217
7                                                 331.16972232347723+1.9757630015565233i            83.80805847224056
7                                                 332.3937307701049+4.820040736186631i              34.48038605510602
7                                                 332.906642726512+4.169250496439807i               39.924039465940766
7                                                 333.0223127649112+4.41383717055156i               37.7248072251945
7                                                 334.4740920255539+4.781658002408877i              34.9746983009925
7                                                 334.5464147791146+0.7357064384737777i             227.36406621174257
7                                                 334.98702145202947+9.44129427071504i              17.740524331027924
7                                                 335.0430069529609+7.599858668973618i              22.04271299943854
7                                                 335.21291989495006+9.509806565476215i             17.62459191924499
7                                                 335.78239768717015+9.294158301973271E-5i          1806416.3896147495
7                                                 335.97321593999936+11.62402492118263i             14.45167307443356
7                                                 336.2987143220982+7.148540649212602i              23.522193607386207
7                                                 336.62415611000495+2.3116778367237374i            72.80948728285836
7                                                 337.53867994706565+4.527662858896578i             37.27515613091895
7                                                 338.05944593596524+6.588032048647131i             25.65708875121415
7                                                 338.2771066310105+1.9095461114103038i             88.57526524488439
7                                                 338.4068887682456+0.5110208687895262i             331.108678173792
7                                                 339.10510213981166+7.568971242735745i             22.401003469610544
7                                                 340.0637140018797+4.0752470689460445i             41.72307939231624
7                                                 340.8961802342255+7.22068584244986i               23.605526377433772
7                                                 341.5410140223445+4.271322162018402i              39.98071335608997
7                                                 342.03490016045134+0.4473531342839053i            382.2873631006959
8                                                 315.6651867094793+2.905596173252031i              54.32020967252605
8                                                 316.0645865393453+5.111504814111941i              30.916980227304897
8                                                 316.9679403589102+2.099335017373177i              75.49246255024146
8                                                 317.1757332530469+1.9479981218773443i             81.41068764157099
8                                                 317.9641317921732+8.382963309229744i              18.964900600369493
8                                                 318.27069840572193+4.437729024692127i             35.8596363855049
8                                                 318.4668142285844+1.7096283089911533E-4i          931391.9655919558
8                                                 320.8244783163954+5.252936629543348i              30.5376307522946
8                                                 321.7930066963638+10.765146013197503i             14.946058618334693
8                                                 321.96931380218047+3.222934914927573i             49.94970768893357
8                                                 322.3364024733422+4.049151834247638i              39.80295326875964
8                                                 322.5185211469094+7.2868138511156975i             22.1302840813978
8                                                 322.9214845817903+8.090133363951434i              19.957735556046938
8                                                 323.1099152405157+8.5312984644099i                18.93673727325544
8                                                 323.69601979308277+2.2049008523565874i            73.40375859692693
8                                                 324.16963655307404+1.8976953118612154i            85.41140259105556
8                                                 325.5944923603454+4.725607521743474i              34.45001418994482
8                                                 325.7423624668403+5.312810054307485i              30.656315503199394
8                                                 326.1925610812292+8.75657353641346i               18.625582239718845
8                                                 326.4253901941189+2.088443762128758i              78.15039028424503
8                                                 326.6377947219447+6.74531840977429i               24.212185020697532
8                                                 328.12353203165463+8.468214287049943i             19.373832599715804
8                                                 328.2672193076203+13.220657252600917i             12.41493569629603
8                                                 329.0175455596189+9.279213300775618i              17.728741375743425
8                                                 329.2626843303687+7.961057243822093i              20.67958276432956
8                                                 329.934510961761+4.255384032143162i               38.76671394045654
8                                                 330.1050726000784+7.639624672057228i              21.60479649003401
8                                                 330.1864568456577+2.293175194785773i              71.99329069938408
8                                                 330.6515089128123+1.2028740860612608i             137.44227793430602
8                                                 331.25940131075237+12.277750215405543i            13.490232147543761
8                                                 331.30285032988377+1.9448738673348231i            85.17335131452195
8                                                 331.7458119559137+12.328992107293972i             13.453890191058242
8                                                 332.4010481551535+4.998005946768365i              33.253366612146486
8                                                 332.7581592763701+4.156552329873119i              40.02814506686696
8                                                 332.97060938724667+7.430189551714991i             22.40660262229733
8                                                 333.21744065706645+5.452483067417205i             30.556485599038155
8                                                 334.4198819586173+7.256477520681062i              23.0428524725334
8                                                 334.5778582552511+0.8519670348286631i             196.35610568109436
8                                                 335.017434209387+8.616283402350167i               19.440947945027435
8                                                 335.08228976324904+7.545275016424328i             22.204776435176452
8                                                 335.78441789580137+8.160463380543953E-5i          2057385.7282196328
8                                                 335.87530035285835+4.880905059288829i             34.40707166733919
8                                                 336.5630618874655+2.3959040320500486i             70.2371750673766
8                                                 337.3060328906291+8.582430520832634i              19.650962048097362
8                                                 338.3813789068738+1.9104557979473769i             88.56037896046482
8                                                 338.3953424064154+0.4641429489329193i             364.5378467823308
8                                                 338.4335691442011+3.8820232502985754i             43.58984314663383
8                                                 339.34057715288816+6.81555462003444i              24.894568092477073
8                                                 339.876264656775+3.973161388287226i               42.77151510365539
8                                                 342.0756139239661+0.3418771002111216i             500.29032905790115
9                                                 316.74330862161844+2.209903106983736i             71.6645240283717
9                                                 317.1322240935208+2.012758037418459i              78.78051365286588
9                                                 317.4932822111768+2.997345623899756i              52.96240775164525
9                                                 318.26895913378274+8.295639475245297i             19.182906880386803
9                                                 318.464227435604+1.7968780140224086E-4i           886159.8420994215
9                                                 318.6978939466624+4.418504693294546i              36.0639985774275
9                                                 319.03287115600733+7.615976375130581i             20.94497510508213
9                                                 319.42320437811605+3.157259883343409i             50.58551024945402
9                                                 321.62375176808166+10.251655071158222i            15.686430607333381
9                                                 322.99870857232315+4.180153381992648i             38.63479148441582
9                                                 323.36822999315973+8.574013572555154i             18.857459651582534
9                                                 323.56656918123775+2.221564681995155i             72.82402619280195
9                                                 323.65333381049464+3.1280121153397826i            51.734667558238904
9                                                 323.9379705249945+8.075338829932088i              20.057237061328284
9                                                 324.14846311861965+1.9411096219297859i            83.49566131055548
9                                                 324.4682734441127+5.81818247167711i               27.883989117187625
9                                                 324.55010720881245+10.80707029066475i             15.015637840773643
9                                                 325.16304379981716+6.497969833563144i             25.02035652122402
9                                                 325.1796001272615+9.006385888605324i              18.052724153129578
9                                                 325.97110817798983+4.826436836813588i             33.76933327829436
9                                                 327.0481052809317+2.711235614929935i              60.31347911630753
9                                                 327.4619787209667+4.426893554051513i              36.985526613947165
9                                                 328.96653310786604+10.142554443961894i            16.217144059981248
9                                                 329.1029138120678+9.24764312322869i               17.793880528618736
9                                                 329.2541754281098+8.192416404526508i              20.09505859871752
9                                                 329.3250954019997+13.047934383009558i             12.619817272795004
9                                                 329.7932195434891+6.197380492274805i              26.60746907137499
9                                                 330.3753309180965+2.397730345319994i              68.89334565142804
9                                                 330.424603128152+1.4333088941768832i              115.26636179771539
9                                                 330.82977866836757+7.434473541815761i             22.249711214088688
9                                                 331.0670408848513+1.908573549485551i              86.73153858128477
9                                                 331.15748009299153+12.490549062429299i            13.25632197743373
9                                                 331.90175341860197+6.9033637561159775i            24.039132598550697
9                                                 332.54392416754376+5.4190236296046965i            30.683011082551964
9                                                 332.96675445186145+5.151616774178951i             32.316723957492805
9                                                 333.0777947977245+4.219006148752141i              39.47349008915751
9                                                 334.2790515234132+9.094691819783376i              18.37770086921842
9                                                 334.3278710363127+5.426321839694652i              30.80612253687535
9                                                 334.5311049956013+0.8610760885922667i             194.25176789109932
9                                                 335.02621633720327+7.8036868552780465i            21.465893144508183
9                                                 335.58764163541105+3.2750998777050864i            51.23319198902761
9                                                 335.66231122930407+9.977404704379298i             16.821123387025416
9                                                 335.7817888520256+1.0009000269961055E-4i          1677399.239661186
9                                                 336.89593433519497+2.367975433459637i             71.13585926079192
9                                                 337.67596385946223+7.663088693700042i             22.032627923063938
9                                                 338.27753181194254+1.9614950390883674i            86.22951500534047
9                                                 338.28277936813083+0.4456246318476333i            379.5602343227242
9                                                 339.00410567328686+6.8068587844574155i            24.90165555126243
9                                                 339.5426784851534+5.751567950181173i              29.517401291804077
9                                                 340.26017151119936+3.9852091750921232i            42.69037791514843
